id,scenario,area,timestep,load,load_shedding,power_dumping
1,0,1,1,488.1,0.0,293.9
2,1,1,1,576.0,0.0,0.0
3,2,1,1,400.3,0.0,0.0
4,3,1,1,537.0,0.0,0.0
5,0,1,2,476.9,0.0,261.1
6,1,1,2,562.8,0.0,0.0
7,2,1,2,391.1,0.0,0.0
8,3,1,2,524.6,0.0,0.0
9,0,1,3,464.0,0.0,250.0
10,1,1,3,547.6,0.0,0.0
11,2,1,3,380.5,0.0,0.0
12,3,1,3,510.4,0.0,0.0
13,0,1,4,455.4,0.0,258.6000000000001
14,1,1,4,537.4,0.0,0.0
15,2,1,4,373.5,0.0,0.0
16,3,1,4,501.0,0.0,0.0
17,0,1,5,456.1,0.0,257.90000000000003
18,1,1,5,538.2,0.0,0.0
19,2,1,5,374.0,0.0,0.0
20,3,1,5,501.7,0.0,0.0
21,0,1,6,471.4,0.0,242.60000000000002
22,1,1,6,556.2,0.0,0.0
23,2,1,6,386.5,0.0,0.0
24,3,1,6,518.5,0.0,0.0
25,0,1,7,492.4,0.0,221.60000000000002
26,1,1,7,581.0,0.0,0.0
27,2,1,7,403.7,0.0,0.0
28,3,1,7,541.6,0.0,0.0
29,0,1,8,472.8,0.0,241.2
30,1,1,8,557.9,0.0,0.0
31,2,1,8,387.7,0.0,0.0
32,3,1,8,520.1,0.0,0.0
33,0,1,9,357.4,0.0,124.11212121212128
34,1,1,9,421.8,0.0,0.0
35,2,1,9,293.1,0.0,0.0
36,3,1,9,393.2,0.0,0.0
37,0,1,10,271.9,0.0,202.10000000000002
38,1,1,10,320.9,0.0,0.0
39,2,1,10,223.0,0.0,0.0
40,3,1,10,299.1,0.0,0.0
41,0,1,11,241.7,0.0,217.60101010101008
42,1,1,11,285.2,0.0,0.0
43,2,1,11,198.2,0.0,0.0
44,3,1,11,265.8,0.0,0.0
45,0,1,12,225.5,0.0,262.1151515151515
46,1,1,12,266.1,0.0,0.0
47,2,1,12,184.9,0.0,0.0
48,3,1,12,248.1,0.0,0.0
49,0,1,13,223.8,0.0,216.01717171717172
50,1,1,13,264.1,0.0,0.0
51,2,1,13,183.5,0.0,0.0
52,3,1,13,246.2,0.0,0.0
53,0,1,14,229.3,0.0,244.7
54,1,1,14,270.6,0.0,0.0
55,2,1,14,188.0,0.0,0.0
56,3,1,14,252.2,0.0,0.0
57,0,1,15,264.8,0.0,209.2
58,1,1,15,312.5,0.0,0.0
59,2,1,15,217.2,0.0,0.0
60,3,1,15,291.3,0.0,0.0
61,0,1,16,369.7,0.0,291.8535353535354
62,1,1,16,436.2,0.0,0.0
63,2,1,16,303.1,0.0,0.0
64,3,1,16,406.6,0.0,0.0
65,0,1,17,536.5,0.0,217.50000000000006
66,1,1,17,633.0,0.0,0.0
67,2,1,17,439.9,0.0,0.0
68,3,1,17,590.1,0.0,0.0
69,0,1,18,650.8,0.0,103.20000000000012
70,1,1,18,767.9,0.0,0.0
71,2,1,18,533.7,0.0,0.0
72,3,1,18,715.9,0.0,0.0
73,0,1,19,678.3,0.0,75.70000000000012
74,1,1,19,800.4,0.0,0.0
75,2,1,19,556.2,0.0,0.0
76,3,1,19,746.1,0.0,0.0
77,0,1,20,674.2,0.0,79.80000000000003
78,1,1,20,795.6,0.0,0.0
79,2,1,20,552.9,0.0,0.0
80,3,1,20,741.6,0.0,0.0
81,0,1,21,666.0,0.0,88.00000000000007
82,1,1,21,785.9,0.0,0.0
83,2,1,21,546.1,0.0,0.0
84,3,1,21,732.6,0.0,0.0
85,0,1,22,644.3,0.0,109.70000000000012
86,1,1,22,760.3,0.0,0.0
87,2,1,22,528.3,0.0,0.0
88,3,1,22,708.7,0.0,0.0
89,0,1,23,607.5,0.0,146.50000000000006
90,1,1,23,716.8,0.0,0.0
91,2,1,23,498.1,0.0,0.0
92,3,1,23,668.2,0.0,0.0
93,0,1,24,567.8,0.0,186.2000000000001
94,1,1,24,669.9,0.0,0.0
95,2,1,24,465.6,0.0,0.0
96,3,1,24,624.5,0.0,0.0
97,0,2,1,0.0,0.0,0.0
98,1,2,1,0.0,0.0,0.0
99,2,2,1,0.0,0.0,0.0
100,3,2,1,0.0,0.0,0.0
101,0,2,2,0.0,0.0,0.0
102,1,2,2,0.0,0.0,0.0
103,2,2,2,0.0,0.0,0.0
104,3,2,2,0.0,0.0,0.0
105,0,2,3,0.0,0.0,0.0
106,1,2,3,0.0,0.0,0.0
107,2,2,3,0.0,0.0,0.0
108,3,2,3,0.0,0.0,0.0
